user_id,polygon
96056.0,0103000020E610000001000000090000001B4B581B6321414046EF54C03DCFB33F37C2A2224E214140402FDCB930D2B33FB247A81952214140D3122BA391CFB33F5C1D0071572141401C97715303CDB33F8FFCC1C073214140CF81E50819C8B33F36B1C0577421414007EBFF1CE6CBB33F848252B472214140CD77F01307D0B33F57CEDE196D2141407BA2EBC20FCEB33F1B4B581B6321414046EF54C03DCFB33F
96056.0,0103000020E6100000010000000D000000C2DCEEE53E2141408F8D40BCAE5FB43F60E7A6CD38214140AEB9A3FFE55AB43F42CEFBFF3821414011AAD4EC8156B43FE3C5C21039214140A94D9CDCEF50B43F7DCC07043A2141402FFB75A73B4FB43FEDD79DEE3C214140749A05DA1D52B43FBD70E7C2482141405264ADA1D45EB43F041DAD6A492141406150A6D1E462B43F813E9127492141400ABB287AE063B43F97ADF54542214140361D01DC2C5EB43F925852EE3E21414065355D4F745DB43FE6B2D1393F2141408257CB9D9960B43FC2DCEEE53E2141408F8D40BCAE5FB43F
96056.0,0103000020E6100000010000000A0000006ABFB513252141408DB7955E9B8DB53F3CA3AD4A222141407730629F008AB53F8D614ED026214140EDF1423A3C84B53F35CF11F92E21414012329067976FB53F5871AAB530214140FE60E0B9F770B53F4B8FA67A322141408D5F7825C973B53F69A8514832214140B7B75B920376B53FA912656F292141400839EFFFE384B53F5DDDB1D8262141403BE2900DA48BB53F6ABFB513252141408DB7955E9B8DB53F
96056.0,0103000020E6100000010000000A000000F8FA5A971A214140A33EC91D3691B53F537AA69718214140B534B742588DB53F1901158E20214140F8713447567EB53F5A0D897B2C21414029E8F692C668B53F5F96766A2E2141407BBDFBE3BD6AB53F6B10E6762F21414090696D1ADB6BB53F98A7734529214140098D60E3FA77B53F2CA0504F1F21414013656F29E78BB53FC251F2EA1C214140006F8104C58FB53FF8FA5A971A214140A33EC91D3691B53F
96056.0,0103000020E6100000010000000E0000005EF415A419214140F775E09C11A5B53F8CDCD3D51D214140ED9DD1562591B53F5AF0A2AF20214140118AADA06989B53F01A5A146212141407730629F008AB53F53978C632421414036221807978EB53FF94B8BFA242141400F80B8AB5791B53F55336B29202141406C088ECBB8A9B53F8C101E6D1C2141402D5C566133C0B53F7BD976DA1A214140999D45EF54C0B53F005471E316214140904C874ECFBBB53FD237691A14214140014EEFE2FDB8B53F7FDDE9CE13214140F8FC304278B4B53F1D39D219182141404A26A77686A9B53F5EF415A419214140F775E09C11A5B53F
96056.0,0103000020E610000001000000130000002BFA43334F2241403FABCC94D6DFBE3F31EBC5504E2241401B13622EA9DABE3F06BCCCB0512241403E247CEF6FD0BE3FD8D30E7F4D224140C687D9CBB6D3BE3F575D876A4A224140BD361B2B31CFBE3F3F355EBA49224140198C118942CBBE3F79E8BB5B59224140F69B89E942ACBE3F34F5BA4560224140BF61A2410A9EBE3FC24D4695612241409F5A7D7555A0BE3FAE122C0E672241402E5915E126A3BE3FC53A55BE67224140DE3994A12AA6BE3FFBAF73D3662241400A48FB1F60ADBE3F595018946922414031EA5A7B9FAABE3F525F96766A224140EA40D653ABAFBE3FDC627E6E68224140B2834A5CC7B8BE3F6FF3C6496122414072FC5069C4CCBE3FED48F59D5F224140DC627E6E68CABE3FDBC01DA8532241401478279F1EDBBE3F2BFA43334F2241403FABCC94D6DFBE3F
4502.0,0103000020E6100000010000000F000000BE50C07630D84340C99063EB19420EC00C2252D32ED84340B9718BF9B9410EC096253ACB2CD843408B89CDC7B5410EC0D84812842BD84340A83AE466B8410EC07974232C2AD843409180D1E5CD410EC0965984622BD843408B71FE2614420EC05436ACA92CD84340350C1F1153420EC060B01BB62DD84340739F1C0588420EC0A06B5F402FD843408F5033A48A420EC0C9CA2F8331D84340F660527C7C420EC0BCE82B4833D84340F0A31AF67B420EC0A5F44C2F31D84340577A6D3656420EC094895B0531D8434035D252793B420EC070B378B130D843407974232C2A420EC0BE50C07630D84340C99063EB19420EC0
7840.0,0103000020E6100000010000001100000000C79E3D97BF434037363B527D870FC014083BC5AABF4340ECF82F1004880FC031ED9BFBABBF434053094FE8F5870FC031ED9BFBABBF43404D124BCADD870FC031ED9BFBABBF4340B4E89D0AB8870FC09B3BFA5FAEBF43400F7F4DD6A8870FC0CA8B4CC0AFBF4340EDD632198E870FC0B8205B96AFBF434054AD855968870FC03C33C170AEBF4340155454FD4A870FC01C615111A7BF4340E23AC61517870FC017D86322A5BF43402CD49AE61D870FC0A243E048A0BF434038143E5B07870FC083A5BA8097BF434027A3CA30EE860FC0EE5BAD1397BF4340AF5B04C6FA860FC0827170E998BF4340F3AB394030870FC07CB4386398BF4340BABDA4315A870FC000C79E3D97BF434037363B527D870FC0
7840.0,0103000020E6100000010000000B0000001F86562767C043407E198C1189820FC02B51F69672C04340B16CE690D4820FC03563D17476C04340070C923EAD820FC04B57B08D78C043404B3ACAC16C820FC039B874CC79C0434074B7EBA529820FC03E75AC527AC0434013B69F8CF1810FC03563D17476C0434020D4450A65810FC043AD69DE71C04340E7C3B30419810FC029CC7B9C69C0434053910A630B810FC012D89C8367C043401494A2957B810FC01F86562767C043407E198C1189820FC0
7840.0,0103000020E6100000010000000C000000982F2FC03EC043402654707841840FC013B534B742C043408D2AC3B81B840FC09B1C3EE944C043405A4B0169FF830FC0938FDD054AC043402654707841840FC0B665C0594AC043405F7CD11E2F840FC0CEDE196D55C043406FD575A8A6840FC03108AC1C5AC043401F679AB0FD840FC037C5E3A25AC043402AC93A1C5D850FC0D8F0F44A59C043402A0307B474850FC0153AAFB14BC0434025766D6FB7840FC00C5C1E6B46C04340F25CDF8783840FC0982F2FC03EC043402654707841840FC0
